X,GO_Number,CHEBI,Chebicategory,parents,hasRole,decision,importantCategory
911,GO:0015537,transports_or_maintains_localization_of CHEBI:24636 !proton;transports_or_maintains_localization_of CHEBI:18107 !xanthosine,"1.C inorganic cation ,6.B nucleoside","CHEBI:36342;CHEBI:36347;CHEBI:33252;CHEBI:24431;CHEBI:23367;CHEBI:33259;CHEBI:33238;CHEBI:33579;CHEBI:33674;CHEBI:33608;CHEBI:24835;CHEBI:33260;CHEBI:33251;CHEBI:24870;CHEBI:24867;CHEBI:36916;CHEBI:23906;CHEBI:25414;CHEBI:36914;CHEBI:36915;CHEBI:60242;CHEBI:15378;CHEBI:36343;CHEBI:36344;CHEBI:36340;CHEBI:36339;CHEBI:33253;CHEBI:24636,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:78616;CHEBI:63299;CHEBI:63161;CHEBI:21731;CHEBI:36357;CHEBI:25367;CHEBI:33595;CHEBI:5686;CHEBI:72695;CHEBI:33832;CHEBI:24532;CHEBI:38104;CHEBI:33661;CHEBI:33670;CHEBI:25693;CHEBI:26912;CHEBI:33655;CHEBI:33659;CHEBI:33833;CHEBI:61120;CHEBI:33838;CHEBI:33636;CHEBI:33672;CHEBI:33635;CHEBI:33671;CHEBI:38166;CHEBI:27171;CHEBI:38101;CHEBI:35875;CHEBI:26401;CHEBI:26394;CHEBI:47017;CHEBI:47019;CHEBI:18254;CHEBI:26399;CHEBI:48136;CHEBI:18107",CHEBI:77746;CHEBI:76971;CHEBI:75771,"1.C inorganic cation,6.B nucleoside",
912,GO:0005459,CHEBI:67119   ! UDP-galactose,3.A monosaccharide and derivative,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33302;CHEBI:51143;CHEBI:36357;CHEBI:25367;CHEBI:33595;CHEBI:33655;CHEBI:33582;CHEBI:50860;CHEBI:72695;CHEBI:33832;CHEBI:33659;CHEBI:33285;CHEBI:5686;CHEBI:24532;CHEBI:33833;CHEBI:61120;CHEBI:47784;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:78616;CHEBI:63299;CHEBI:35241;CHEBI:63367;CHEBI:25609;CHEBI:61109;CHEBI:17297;CHEBI:18307;CHEBI:67119,CHEBI:75771,3.A monosaccharide and derivative,
913,GO:0005461,CHEBI:17200  !UDP-alpha-D-glucuronic acid,3.A monosaccharide and derivative,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33302;CHEBI:51143;CHEBI:36357;CHEBI:25367;CHEBI:33595;CHEBI:33655;CHEBI:33582;CHEBI:50860;CHEBI:72695;CHEBI:33832;CHEBI:33659;CHEBI:33285;CHEBI:5686;CHEBI:24532;CHEBI:33833;CHEBI:61120;CHEBI:47784;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:78616;CHEBI:63299;CHEBI:35241;CHEBI:63367;CHEBI:25609;CHEBI:61109;CHEBI:17297;CHEBI:17200,CHEBI:77746;CHEBI:76971;CHEBI:75771,3.A monosaccharide and derivative,
914,GO:0005463,CHEBI:28800   ! N-acetylgalactosamine,7.D Other organic,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:78616;CHEBI:63299;CHEBI:28963;CHEBI:60926;CHEBI:24586;CHEBI:24156;CHEBI:21656;CHEBI:21655;CHEBI:28800,CHEBI:75771,7.D Other organic,
915,GO:0005457,transports_or_maintains_localization_of CHEBI:64608 !GDP-fucose,3.A monosaccharide and derivative,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33302;CHEBI:51143;CHEBI:36357;CHEBI:25367;CHEBI:33595;CHEBI:33655;CHEBI:33582;CHEBI:50860;CHEBI:72695;CHEBI:33832;CHEBI:33659;CHEBI:33285;CHEBI:5686;CHEBI:24532;CHEBI:33833;CHEBI:61120;CHEBI:47784;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:78616;CHEBI:63299;CHEBI:35241;CHEBI:63367;CHEBI:25609;CHEBI:64711;CHEBI:21169;CHEBI:21167;CHEBI:64608,NA,3.A monosaccharide and derivative,
916,GO:0005458,transports_or_maintains_localization_of CHEBI:21168 !GDP-mannose,3.A monosaccharide and derivative,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33302;CHEBI:51143;CHEBI:36357;CHEBI:25367;CHEBI:33595;CHEBI:33655;CHEBI:33582;CHEBI:50860;CHEBI:72695;CHEBI:33832;CHEBI:33659;CHEBI:33285;CHEBI:5686;CHEBI:24532;CHEBI:33833;CHEBI:61120;CHEBI:47784;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:78616;CHEBI:63299;CHEBI:35241;CHEBI:63367;CHEBI:25609;CHEBI:64711;CHEBI:21169;CHEBI:21167;CHEBI:21168,CHEBI:75772;CHEBI:76971,3.A monosaccharide and derivative,
917,GO:0051034,transports_or_maintains_localization_of CHEBI:17843 !transfer RNA,6.C nucleic acid,CHEBI:24431;CHEBI:23367;CHEBI:36357;CHEBI:33839;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33694;CHEBI:33695;CHEBI:33302;CHEBI:51143;CHEBI:25367;CHEBI:33595;CHEBI:33655;CHEBI:72695;CHEBI:33832;CHEBI:33659;CHEBI:33285;CHEBI:5686;CHEBI:24532;CHEBI:33833;CHEBI:61120;CHEBI:15986;CHEBI:33696;CHEBI:33697;CHEBI:17843,NA,6.C nucleic acid,
919,GO:0005243,NA,NA,,NA,NA,
920,GO:0015288,NA,NA,,NA,NA,
921,GO:0055077,NA,NA,,NA,NA,
922,GO:0008381, CHEBI:36914 ! inorganic ion,1.A Nonselective,CHEBI:24431;CHEBI:23367;CHEBI:24870;CHEBI:24835;CHEBI:36914,NA,1.A Nonselective,
923,GO:0022828,NA,NA,,NA,NA,
924,GO:0022832,NA,NA,,NA,NA,
925,GO:0022834,NA,NA,,NA,NA,
927,GO:0022859,NA,NA,,NA,NA,
929,GO:0022831,NA,NA,,NA,NA,
930,GO:0022840,NA,NA,,NA,NA,
931,GO:0034291,NA,NA,,NA,NA,
933,GO:0015381,NA,NA,,NA,NA,
934,GO:0015382,transports_or_maintains_localization_of CHEBI:29101 !sodium(1+);transports_or_maintains_localization_of CHEBI:16189 !sulfate,"1.C inorganic cation ,1.D inorganic anion ","CHEBI:24431;CHEBI:23367;CHEBI:24870;CHEBI:33259;CHEBI:33238;CHEBI:24867;CHEBI:36916;CHEBI:23906;CHEBI:24835;CHEBI:36914;CHEBI:36915;CHEBI:25213;CHEBI:33504;CHEBI:33579;CHEBI:33674;CHEBI:33296;CHEBI:26712;CHEBI:37246;CHEBI:60242;CHEBI:25414;CHEBI:29101,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33304;CHEBI:26835;CHEBI:24870;CHEBI:22563;CHEBI:36357;CHEBI:36358;CHEBI:33273;CHEBI:25806;CHEBI:37577;CHEBI:25741;CHEBI:35406;CHEBI:33485;CHEBI:33482;CHEBI:24835;CHEBI:24836;CHEBI:48154;CHEBI:36914;CHEBI:24834;CHEBI:79388;CHEBI:16189",CHEBI:77746;CHEBI:75772,"1.C inorganic cation,1.D inorganic anion",
935,GO:0008516,NA,NA,,NA,NA,
936,GO:0022810,NA,NA,,NA,NA,
937,GO:0005476,CHEBI:3424   ! carnitine,2.B organic cation,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33302;CHEBI:51143;CHEBI:24870;CHEBI:36916;CHEBI:36357;CHEBI:36358;CHEBI:33702;CHEBI:35274;CHEBI:33582;CHEBI:50860;CHEBI:25699;CHEBI:25697;CHEBI:35267;CHEBI:3424,CHEBI:77746;CHEBI:75771,2.B organic cation,
938,GO:0022821,has_input CHEBI:29103 ! potassium(1+),1.C inorganic cation ,CHEBI:24431;CHEBI:23367;CHEBI:24870;CHEBI:33259;CHEBI:33238;CHEBI:24867;CHEBI:36916;CHEBI:23906;CHEBI:24835;CHEBI:36914;CHEBI:36915;CHEBI:25213;CHEBI:33504;CHEBI:33579;CHEBI:33674;CHEBI:33296;CHEBI:26217;CHEBI:37247;CHEBI:60242;CHEBI:25414;CHEBI:29103,CHEBI:77746,1.C inorganic cation,
939,GO:0046609,NA,NA,,NA,NA,
941,GO:0005427,CHEBI:25676   ! oligopeptide,5.C peptide,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:32988;CHEBI:33256;CHEBI:37622;CHEBI:50047;CHEBI:16670;CHEBI:25676,NA,5.C peptide,
942,GO:0005477,transports_or_maintains_localization_of CHEBI:15361 !pyruvate,2.A organic anion,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:24870;CHEBI:25699;CHEBI:22563;CHEBI:25696;CHEBI:36357;CHEBI:36358;CHEBI:33273;CHEBI:33304;CHEBI:25806;CHEBI:37577;CHEBI:25741;CHEBI:35406;CHEBI:29067;CHEBI:35903;CHEBI:35757;CHEBI:35902;CHEBI:35179;CHEBI:15361,CHEBI:78675,2.A organic anion,
945,GO:0009678,NA,NA,,NA,NA,
947,GO:0042626,NA,NA,,NA,NA,
948,GO:0015421,NA,NA,,NA,NA,
949,GO:0015433,NA,NA,,NA,NA,
950,GO:0044604,transports_or_maintains_localization_of CHEBI:60836 !phytochelatin,5.C peptide,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:32988;CHEBI:33256;CHEBI:37622;CHEBI:50047;CHEBI:16670;CHEBI:60836,CHEBI:38161;CHEBI:25212,5.C peptide,
952,GO:0015334,CHEBI:25676   ! oligopeptides,5.C peptide,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:32988;CHEBI:33256;CHEBI:37622;CHEBI:50047;CHEBI:16670;CHEBI:25676,NA,5.C peptide,
953,GO:0042937,transports_or_maintains_localization_of CHEBI:47923 !tripeptide,5.C peptide,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:32988;CHEBI:33256;CHEBI:37622;CHEBI:50047;CHEBI:16670;CHEBI:25676;CHEBI:47923,NA,5.C peptide,
954,GO:0071916,transports_or_maintains_localization_of CHEBI:46761 !dipeptide,5.C peptide,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:32988;CHEBI:33256;CHEBI:37622;CHEBI:50047;CHEBI:16670;CHEBI:25676;CHEBI:46761,NA,5.C peptide,
955,GO:1901584,transports_or_maintains_localization_of CHEBI:48030 !tetrapeptide,5.C peptide,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:32988;CHEBI:33256;CHEBI:37622;CHEBI:50047;CHEBI:16670;CHEBI:25676;CHEBI:48030,NA,5.C peptide,
956,GO:0005352,transports_or_maintains_localization_of CHEBI:24636 !proton;transports_or_maintains_localization_of CHEBI:60979 !alpha-glucoside,"1.C inorganic cation ,7.D Other organic","CHEBI:36342;CHEBI:36347;CHEBI:33252;CHEBI:24431;CHEBI:23367;CHEBI:33259;CHEBI:33238;CHEBI:33579;CHEBI:33674;CHEBI:33608;CHEBI:24835;CHEBI:33260;CHEBI:33251;CHEBI:24870;CHEBI:24867;CHEBI:36916;CHEBI:23906;CHEBI:25414;CHEBI:36914;CHEBI:36915;CHEBI:60242;CHEBI:15378;CHEBI:36343;CHEBI:36344;CHEBI:36340;CHEBI:36339;CHEBI:33253;CHEBI:24636,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:78616;CHEBI:63299;CHEBI:63161;CHEBI:24400;CHEBI:35313;CHEBI:24278;CHEBI:60979",NA,"1.C inorganic cation,7.D Other organic",
957,GO:0042951,transports_or_maintains_localization_of CHEBI:18305 !hydroquinone O-beta-D-glucopyranoside,3.A monosaccharide and derivative,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:78616;CHEBI:63299;CHEBI:63161;CHEBI:24400;CHEBI:35313;CHEBI:24278;CHEBI:35436;CHEBI:60980;CHEBI:22798;CHEBI:63367;CHEBI:18305,CHEBI:76924;CHEBI:76971,3.A monosaccharide and derivative,
958,GO:0042913,NA,NA,,NA,NA,
960,GO:0102013,NA,NA,,NA,NA,
961,GO:0032519,NA,NA,,NA,NA,
962,GO:0032521,NA,NA,,NA,NA,
963,GO:0032522,NA,NA,,NA,NA,
965,GO:0033286,transports_or_maintains_localization_of CHEBI:27592 !ectoine,4.A monocarboxylic acid,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:2634;CHEBI:35359;CHEBI:36357;CHEBI:25367;CHEBI:33595;CHEBI:5686;CHEBI:72695;CHEBI:33832;CHEBI:24532;CHEBI:38101;CHEBI:78712;CHEBI:78715;CHEBI:36587;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:36586;CHEBI:33674;CHEBI:33608;CHEBI:37577;CHEBI:24651;CHEBI:24833;CHEBI:35605;CHEBI:64709;CHEBI:33575;CHEBI:25384;CHEBI:27592,CHEBI:25728,4.A monocarboxylic acid,
966,GO:0033288,transports_or_maintains_localization_of CHEBI:49432 !5-hydroxyectoine,4.A monocarboxylic acid,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:2634;CHEBI:35359;CHEBI:33304;CHEBI:25806;CHEBI:33674;CHEBI:33608;CHEBI:36357;CHEBI:37577;CHEBI:24651;CHEBI:33822;CHEBI:30879;CHEBI:35681;CHEBI:25367;CHEBI:33595;CHEBI:5686;CHEBI:72695;CHEBI:33832;CHEBI:24532;CHEBI:38101;CHEBI:78712;CHEBI:78715;CHEBI:36587;CHEBI:36962;CHEBI:36963;CHEBI:36586;CHEBI:24833;CHEBI:35605;CHEBI:64709;CHEBI:33575;CHEBI:25384;CHEBI:49432,NA,4.A monocarboxylic acid,
971,GO:0015131,transports_or_maintains_localization_of CHEBI:16452 !oxaloacetate(2-),2.A organic anion,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:24870;CHEBI:25699;CHEBI:22563;CHEBI:25696;CHEBI:36357;CHEBI:36358;CHEBI:33273;CHEBI:33304;CHEBI:25806;CHEBI:37577;CHEBI:25741;CHEBI:35406;CHEBI:29067;CHEBI:35693;CHEBI:38716;CHEBI:28965;CHEBI:61336;CHEBI:133294;CHEBI:16452,CHEBI:77746;CHEBI:75772,2.A organic anion,
972,GO:0015138,transports_or_maintains_localization_of CHEBI:29806 !fumarate(2-),2.A organic anion,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:24870;CHEBI:25699;CHEBI:22563;CHEBI:25696;CHEBI:36357;CHEBI:36358;CHEBI:33273;CHEBI:33304;CHEBI:25806;CHEBI:37577;CHEBI:25741;CHEBI:35406;CHEBI:29067;CHEBI:35693;CHEBI:38716;CHEBI:28965;CHEBI:61336;CHEBI:36180;CHEBI:29806,CHEBI:25212;CHEBI:77746;CHEBI:75772,2.A organic anion,
973,GO:0015140,transports_or_maintains_localization_of CHEBI:15595 !malate(2-),2.A organic anion,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:24870;CHEBI:25699;CHEBI:22563;CHEBI:25696;CHEBI:36357;CHEBI:36358;CHEBI:33273;CHEBI:33304;CHEBI:25806;CHEBI:37577;CHEBI:25741;CHEBI:35406;CHEBI:29067;CHEBI:35693;CHEBI:38716;CHEBI:28965;CHEBI:61336;CHEBI:25115;CHEBI:15595,CHEBI:78675,2.A organic anion,
976,GO:0140010,transports_or_maintains_localization_of CHEBI:29994 !D-aspartate(2-),2.A organic anion,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:24870;CHEBI:25699;CHEBI:22563;CHEBI:25696;CHEBI:36357;CHEBI:36358;CHEBI:33273;CHEBI:33304;CHEBI:25806;CHEBI:37577;CHEBI:25741;CHEBI:35406;CHEBI:29067;CHEBI:35693;CHEBI:38716;CHEBI:28965;CHEBI:61336;CHEBI:33285;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:37022;CHEBI:33558;CHEBI:132943;CHEBI:29995;CHEBI:29994,NA,2.A organic anion,
979,GO:0015134,transports_or_maintains_localization_of CHEBI:24592 !hexuronic acid,3.A monosaccharide and derivative;4.A monocarboxylic acid,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:36357;CHEBI:25367;CHEBI:72695;CHEBI:36587;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:36586;CHEBI:33674;CHEBI:33608;CHEBI:37577;CHEBI:24651;CHEBI:24833;CHEBI:35605;CHEBI:64709;CHEBI:33575;CHEBI:25384;CHEBI:78616;CHEBI:16646;CHEBI:33720;CHEBI:35381;CHEBI:27252;CHEBI:24592,NA,3.A monosaccharide and derivative;4.A monocarboxylic acid,
995,GO:0005280,transports_or_maintains_localization_of CHEBI:33709 !amino acid;transports_or_maintains_localization_of CHEBI:24636 !proton,"5.A amino acid,1.C inorganic cation ","CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:50047;CHEBI:36357;CHEBI:25367;CHEBI:72695;CHEBI:36587;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:36586;CHEBI:33674;CHEBI:33608;CHEBI:37577;CHEBI:24651;CHEBI:24833;CHEBI:35605;CHEBI:64709;CHEBI:33575;CHEBI:33709,CHEBI:36342;CHEBI:36347;CHEBI:33252;CHEBI:24431;CHEBI:23367;CHEBI:33259;CHEBI:33238;CHEBI:33579;CHEBI:33674;CHEBI:33608;CHEBI:24835;CHEBI:33260;CHEBI:33251;CHEBI:24870;CHEBI:24867;CHEBI:36916;CHEBI:23906;CHEBI:25414;CHEBI:36914;CHEBI:36915;CHEBI:60242;CHEBI:15378;CHEBI:36343;CHEBI:36344;CHEBI:36340;CHEBI:36339;CHEBI:33253;CHEBI:24636",NA,"5.A amino acid,1.C inorganic cation",
997,GO:0017032,transports_or_maintains_localization_of CHEBI:33709 !amino acid;transports_or_maintains_localization_of CHEBI:29103 !potassium(1+),"5.A amino acid,1.C inorganic cation ","CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:50047;CHEBI:36357;CHEBI:25367;CHEBI:72695;CHEBI:36587;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:36586;CHEBI:33674;CHEBI:33608;CHEBI:37577;CHEBI:24651;CHEBI:24833;CHEBI:35605;CHEBI:64709;CHEBI:33575;CHEBI:33709,CHEBI:24431;CHEBI:23367;CHEBI:24870;CHEBI:33259;CHEBI:33238;CHEBI:24867;CHEBI:36916;CHEBI:23906;CHEBI:24835;CHEBI:36914;CHEBI:36915;CHEBI:25213;CHEBI:33504;CHEBI:33579;CHEBI:33674;CHEBI:33296;CHEBI:26217;CHEBI:37247;CHEBI:60242;CHEBI:25414;CHEBI:29103",CHEBI:77746,"5.A amino acid,1.C inorganic cation",
1002,GO:0015494,transports_or_maintains_localization_of CHEBI:33856 !aromatic amino acid;transports_or_maintains_localization_of CHEBI:24636 !proton,"5.A amino acid,1.C inorganic cation ","CHEBI:24431;CHEBI:23367;CHEBI:36357;CHEBI:25367;CHEBI:33595;CHEBI:33655;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:72695;CHEBI:33832;CHEBI:33659;CHEBI:33285;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:50047;CHEBI:36587;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:36586;CHEBI:33674;CHEBI:33608;CHEBI:37577;CHEBI:24651;CHEBI:24833;CHEBI:35605;CHEBI:64709;CHEBI:33575;CHEBI:33709;CHEBI:33856,CHEBI:36342;CHEBI:36347;CHEBI:33252;CHEBI:24431;CHEBI:23367;CHEBI:33259;CHEBI:33238;CHEBI:33579;CHEBI:33674;CHEBI:33608;CHEBI:24835;CHEBI:33260;CHEBI:33251;CHEBI:24870;CHEBI:24867;CHEBI:36916;CHEBI:23906;CHEBI:25414;CHEBI:36914;CHEBI:36915;CHEBI:60242;CHEBI:15378;CHEBI:36343;CHEBI:36344;CHEBI:36340;CHEBI:36339;CHEBI:33253;CHEBI:24636",NA,"5.A amino acid,1.C inorganic cation",
1004,GO:0005287,NA,NA,,NA,NA,
1007,GO:0097625,NA,NA,,NA,NA,
1019,GO:0042970,transports_or_maintains_localization_of CHEBI:30653 !homoserine,5.A amino acid,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:50047;CHEBI:36357;CHEBI:25367;CHEBI:72695;CHEBI:36587;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:36586;CHEBI:33674;CHEBI:33608;CHEBI:37577;CHEBI:24651;CHEBI:24833;CHEBI:35605;CHEBI:64709;CHEBI:33575;CHEBI:33709;CHEBI:33704;CHEBI:15705;CHEBI:83820;CHEBI:83925;CHEBI:83822;CHEBI:30653,CHEBI:25212,5.A amino acid,
1021,GO:0015626,NA,NA,,NA,NA,
1024,GO:0072320,CHEBI:17996   ! chloride,1.D inorganic anion ,CHEBI:24431;CHEBI:23367;CHEBI:24870;CHEBI:33259;CHEBI:33238;CHEBI:24867;CHEBI:22563;CHEBI:23905;CHEBI:36830;CHEBI:33429;CHEBI:24835;CHEBI:36914;CHEBI:24834;CHEBI:79389;CHEBI:16042;CHEBI:33433;CHEBI:33434;CHEBI:33579;CHEBI:33675;CHEBI:24471;CHEBI:23117;CHEBI:33431;CHEBI:33432;CHEBI:17996,CHEBI:77746;CHEBI:76971,1.D inorganic anion,
1025,GO:0005247,transports_or_maintains_localization_of CHEBI:17996 !chloride,1.D inorganic anion ,CHEBI:24431;CHEBI:23367;CHEBI:24870;CHEBI:33259;CHEBI:33238;CHEBI:24867;CHEBI:22563;CHEBI:23905;CHEBI:36830;CHEBI:33429;CHEBI:24835;CHEBI:36914;CHEBI:24834;CHEBI:79389;CHEBI:16042;CHEBI:33433;CHEBI:33434;CHEBI:33579;CHEBI:33675;CHEBI:24471;CHEBI:23117;CHEBI:33431;CHEBI:33432;CHEBI:17996,CHEBI:77746;CHEBI:76971,1.D inorganic anion,
1026,GO:0005260,NA,NA,,NA,NA,
1027,GO:0008068,CHEBI:17996   ! chloride,1.D inorganic anion ,CHEBI:24431;CHEBI:23367;CHEBI:24870;CHEBI:33259;CHEBI:33238;CHEBI:24867;CHEBI:22563;CHEBI:23905;CHEBI:36830;CHEBI:33429;CHEBI:24835;CHEBI:36914;CHEBI:24834;CHEBI:79389;CHEBI:16042;CHEBI:33433;CHEBI:33434;CHEBI:33579;CHEBI:33675;CHEBI:24471;CHEBI:23117;CHEBI:33431;CHEBI:33432;CHEBI:17996,CHEBI:77746;CHEBI:76971,1.D inorganic anion,
1028,GO:0016934,NA,NA,,NA,NA,
1029,GO:0019182,transports_or_maintains_localization_of CHEBI:17996 !chloride,1.D inorganic anion ,CHEBI:24431;CHEBI:23367;CHEBI:24870;CHEBI:33259;CHEBI:33238;CHEBI:24867;CHEBI:22563;CHEBI:23905;CHEBI:36830;CHEBI:33429;CHEBI:24835;CHEBI:36914;CHEBI:24834;CHEBI:79389;CHEBI:16042;CHEBI:33433;CHEBI:33434;CHEBI:33579;CHEBI:33675;CHEBI:24471;CHEBI:23117;CHEBI:33431;CHEBI:33432;CHEBI:17996,CHEBI:77746;CHEBI:76971,1.D inorganic anion,
1030,GO:0022851,CHEBI:17996   ! chloride,1.D inorganic anion ,CHEBI:24431;CHEBI:23367;CHEBI:24870;CHEBI:33259;CHEBI:33238;CHEBI:24867;CHEBI:22563;CHEBI:23905;CHEBI:36830;CHEBI:33429;CHEBI:24835;CHEBI:36914;CHEBI:24834;CHEBI:79389;CHEBI:16042;CHEBI:33433;CHEBI:33434;CHEBI:33579;CHEBI:33675;CHEBI:24471;CHEBI:23117;CHEBI:33431;CHEBI:33432;CHEBI:17996,CHEBI:77746;CHEBI:76971,1.D inorganic anion,
1031,GO:0022852,has_input CHEBI:15428 !glycine,5.A amino acid,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:50047;CHEBI:36357;CHEBI:25367;CHEBI:72695;CHEBI:36587;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:36586;CHEBI:33674;CHEBI:33608;CHEBI:37577;CHEBI:24651;CHEBI:24833;CHEBI:35605;CHEBI:64709;CHEBI:33575;CHEBI:33709;CHEBI:33704;CHEBI:15705;CHEBI:83813;CHEBI:26650;CHEBI:15428,CHEBI:50733;CHEBI:62868;CHEBI:64570;CHEBI:64571;CHEBI:27027;CHEBI:78675;CHEBI:25512,5.A amino acid,
1032,GO:0061778,NA,NA,,NA,NA,
