X,GO_Number,CHEBI,Chebicategory,parents,hasRole,decision,importantCategory
239,GO:0005338,transports_or_maintains_localization_of CHEBI:25609 !nucleotide-sugar,3.A monosaccharide and derivative,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33302;CHEBI:51143;CHEBI:36357;CHEBI:25367;CHEBI:33595;CHEBI:33655;CHEBI:33582;CHEBI:50860;CHEBI:72695;CHEBI:33832;CHEBI:33659;CHEBI:33285;CHEBI:5686;CHEBI:24532;CHEBI:33833;CHEBI:61120;CHEBI:47784;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:78616;CHEBI:63299;CHEBI:35241;CHEBI:63367;CHEBI:25609,NA,3.A monosaccharide and derivative,
240,GO:0051032,transports_or_maintains_localization_of CHEBI:33696 !nucleic acid,6.C nucleic acid,CHEBI:24431;CHEBI:23367;CHEBI:36357;CHEBI:33839;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33694;CHEBI:33695;CHEBI:33302;CHEBI:51143;CHEBI:25367;CHEBI:33595;CHEBI:33655;CHEBI:72695;CHEBI:33832;CHEBI:33659;CHEBI:33285;CHEBI:5686;CHEBI:24532;CHEBI:33833;CHEBI:61120;CHEBI:15986;CHEBI:33696,NA,6.C nucleic acid,
241,GO:0015522,NA,NA,,NA,NA,
242,GO:0000269,NA,NA,,NA,NA,
243,GO:0015267,NA,NA,,NA,NA,
244,GO:0008504,transports_or_maintains_localization_of CHEBI:63534 !monoamine,5.G Other oganic amino compounds,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:50047;CHEBI:64365;CHEBI:63534,NA,5.G Other oganic amino compounds,
245,GO:0015291,NA,NA,,NA,NA,
246,GO:0015399,NA,NA,,NA,NA,
247,GO:0015490,transports_or_maintains_localization_of CHEBI:18127 !cadaverine,5.E polyamin,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:50047;CHEBI:88061;CHEBI:23666;CHEBI:35410;CHEBI:46686;CHEBI:39474;CHEBI:46687;CHEBI:35411;CHEBI:18127,CHEBI:76924;CHEBI:83056;CHEBI:76971;CHEBI:75771,5.E polyamin,
248,GO:0033224,transports_or_maintains_localization_of CHEBI:15573 !(2-aminoethyl)phosphonic acid,5.G Other oganic amino compounds,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33302;CHEBI:26082;CHEBI:36360;CHEBI:26069;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:51143;CHEBI:35352;CHEBI:50047;CHEBI:50994;CHEBI:15573,CHEBI:25212;CHEBI:77746;CHEBI:75771,5.G Other oganic amino compounds,
249,GO:0015162,transports_or_maintains_localization_of CHEBI:30049 !teichoic acid,3.C polysaccharide and derivative,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:78616;CHEBI:63299;CHEBI:36357;CHEBI:33839;CHEBI:33694;CHEBI:65212;CHEBI:30049,NA,3.C polysaccharide and derivative,
250,GO:0015647,transports_or_maintains_localization_of CHEBI:8005 !peptidoglycan,3.C polysaccharide and derivative,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:78616;CHEBI:63299;CHEBI:36357;CHEBI:33839;CHEBI:33694;CHEBI:65212;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:22506;CHEBI:18085;CHEBI:86469;CHEBI:8005,NA,3.C polysaccharide and derivative,
